ARCHIVO;N;FECHA;HORARIO;ARU;DETECCION;BI
20210510_023000.WAV;291;20210510;23000;a04;1;1.2741
20210510_033000.WAV;292;20210510;33000;a04;0;0.5849
20210510_043000.WAV;293;20210510;43000;a04;0;0.5891
20210510_053000.WAV;294;20210510;53000;a04;0;0.6432
20210510_063000.WAV;295;20210510;63000;a04;0;0.6111
20210510_073000.WAV;296;20210510;73000;a04;0;0.5267
20210510_083000.WAV;297;20210510;83000;a04;0;0.5952
20210510_093000.WAV;298;20210510;93000;a04;0;0.5758
20210510_103000.WAV;299;20210510;103000;a04;0;0.6683
20210510_233000.WAV;300;20210510;233000;a04;1;4.981
20210511_003000.WAV;301;20210511;3000;a04;1;5.3241
20210511_013000.WAV;302;20210511;13000;a04;1;2.6992
20210511_023000.WAV;303;20210511;23000;a04;1;0.6721
20210511_033000.WAV;304;20210511;33000;a04;0;0.5947
20210511_043000.WAV;305;20210511;43000;a04;0;0.5306
20210511_053000.WAV;306;20210511;53000;a04;0;0.5845
20210511_063000.WAV;307;20210511;63000;a04;0;0.5219
20210511_073000.WAV;308;20210511;73000;a04;0;0.6765
20210511_083000.WAV;309;20210511;83000;a04;0;0.6024
20210511_093000.WAV;310;20210511;93000;a04;0;0.6362
20210511_103000.WAV;311;20210511;103000;a04;0;0.6355
20210511_233000.WAV;312;20210511;233000;a04;1;5.4019
20210512_003000.WAV;313;20210512;3000;a04;1;6.206
20210512_013000.WAV;314;20210512;13000;a04;1;4.1763
20210512_023000.WAV;315;20210512;23000;a04;1;1.2392
20210512_033000.WAV;316;20210512;33000;a04;0;0.6483
20210512_043000.WAV;317;20210512;43000;a04;0;0.6074
20210512_053000.WAV;318;20210512;53000;a04;0;0.6177
20210512_063000.WAV;319;20210512;63000;a04;0;0.9093
20210512_073000.WAV;320;20210512;73000;a04;0;0.6338
20210512_083000.WAV;321;20210512;83000;a04;0;0.6361
20210512_093000.WAV;322;20210512;93000;a04;0;0.6302
20210512_103000.WAV;323;20210512;103000;a04;0;0.7744
20210512_233000.WAV;324;20210512;233000;a04;1;4.9274
20210513_003000.WAV;325;20210513;3000;a04;1;4.3744
20210513_013000.WAV;326;20210513;13000;a04;1;3.4157
20210513_023000.WAV;327;20210513;23000;a04;1;1.6804
20210513_033000.WAV;328;20210513;33000;a04;0;0.6059
20210513_043000.WAV;329;20210513;43000;a04;0;0.6363
20210513_053000.WAV;330;20210513;53000;a04;0;0.6421
20210513_063000.WAV;331;20210513;63000;a04;0;0.5903
20210513_073000.WAV;332;20210513;73000;a04;0;0.5836
20210513_083000.WAV;333;20210513;83000;a04;0;0.6224
20210513_093000.WAV;334;20210513;93000;a04;0;0.5888
20210513_103000.WAV;335;20210513;103000;a04;0;0.6378
20210514_233000.WAV;336;20210514;233000;a04;1;4.0039
20210515_003000.WAV;337;20210515;3000;a04;1;4.4172
20210515_013000.WAV;338;20210515;13000;a04;1;6.6264
20210515_023000.WAV;339;20210515;23000;a04;1;0.8208
20210515_033000.WAV;340;20210515;33000;a04;0;0.6897
20210515_043000.WAV;341;20210515;43000;a04;0;0.7184
20210515_053000.WAV;342;20210515;53000;a04;0;0.6774
20210515_063000.WAV;343;20210515;63000;a04;0;0.7322
20210515_073000.WAV;344;20210515;73000;a04;0;0.6892
20210515_083000.WAV;345;20210515;83000;a04;0;0.692
20210515_093000.WAV;346;20210515;93000;a04;0;0.7053
20210515_103000.WAV;347;20210515;103000;a04;0;0.7376
20210515_233000.WAV;348;20210515;233000;a04;1;5.6594
20210516_003000.WAV;349;20210516;3000;a04;1;5.8516
20210516_013000.WAV;350;20210516;13000;a04;1;5.3543
20210516_023000.WAV;351;20210516;23000;a04;1;0.9401
20210516_033000.WAV;352;20210516;33000;a04;0;0.745
20210516_043000.WAV;353;20210516;43000;a04;0;0.7178
20210516_053000.WAV;354;20210516;53000;a04;0;0.7647
20210516_063000.WAV;355;20210516;63000;a04;0;0.7391
20210516_073000.WAV;356;20210516;73000;a04;0;0.8225
20210516_083000.WAV;357;20210516;83000;a04;0;0.771
20210516_093000.WAV;358;20210516;93000;a04;0;0.8172
20210516_103000.WAV;359;20210516;103000;a04;0;0.7796
20210516_233000.WAV;360;20210516;233000;a04;1;5.584
20210517_003000.WAV;361;20210517;3000;a04;1;5.7455
20210517_013000.WAV;362;20210517;13000;a04;1;5.3599
20210517_023000.WAV;363;20210517;23000;a04;1;0.8735
20210517_033000.WAV;364;20210517;33000;a04;0;1.0423
20210517_043000.WAV;365;20210517;43000;a04;0;0.7674
20210517_053000.WAV;366;20210517;53000;a04;0;0.7601
20210517_063000.WAV;367;20210517;63000;a04;0;0.7741
20210517_073000.WAV;368;20210517;73000;a04;0;0.7286
20210517_083000.WAV;369;20210517;83000;a04;0;0.7911
20210517_093000.WAV;370;20210517;93000;a04;0;0.8589
20210517_103000.WAV;371;20210517;103000;a04;0;0.7956
